product,original_price,selling_price,category,source,rating,main_category,discount,price_range
Alisha Solid Women's Cycling Shorts,999.0,379.0,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Flipkart,,Clothing,62.06206206206206,Budget
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",Flipkart,,Furniture,29.576764001617068,Luxury
AW Bellies,999.0,499.0,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",Flipkart,,Footwear,50.050050050050054,Budget
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",Flipkart,,Pet Supplies,4.545454545454546,Budget
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",Flipkart,,"[""Eternal Gandhi Super Series Crystal Paper Weight",0.0,Budget
"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,"[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",Flipkart,,Footwear,50.07153075822603,Budget
Ladela Bellies,1724.0,950.0,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",Flipkart,,Footwear,44.895591647331784,Economy
Carrel Printed Women's,2299.0,910.0,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",Flipkart,,Clothing,60.41757285776425,Economy
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",Flipkart,,Pens & Stationery,0.0,Economy
Style Foot Bellies,899.0,449.0,"[""Footwear >> Women's Footwear >> Ballerinas >> Style Foot Bellies""]",Flipkart,,Footwear,50.055617352614014,Budget
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons Conditioning Conditoner Dog Shampoo (200 ml)""]",Flipkart,,Pet Supplies,9.090909090909092,Budget
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",Flipkart,,Clothing,56.708333333333336,Mid-Range
SWAGGA Women Clogs,1500.0,1500.0,"[""Footwear >> Women's Footwear >> Sports Sandals >> SWAGGA Women Clogs""]",Flipkart,,Footwear,0.0,Mid-Range
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,"[""Pet Supplies >> Toys >> Comfort Toys""]",Flipkart,,Pet Supplies,0.0,Budget
Glus Wedding Lingerie Set,1299.0,699.0,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Lingerie Sets >> Glus Lingerie Sets""]",Flipkart,,Clothing,46.18937644341801,Economy
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,"[""Sports & Fitness >> Other Sports >> Skating >> Skates >> Veelys Skates""]",Flipkart,,Sports & Fitness,21.88183807439825,Mid-Range
