product,original_price,selling_price,category,source,rating
Alisha Solid Women's Cycling Shorts,999.0,379.0,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Flipkart,
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",Flipkart,
AW Bellies,999.0,499.0,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",Flipkart,
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",Flipkart,
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",Flipkart,
"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,"[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",Flipkart,
Ladela Bellies,1724.0,950.0,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",Flipkart,
Carrel Printed Women's,2299.0,910.0,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",Flipkart,
Sicons All Purpose Tea Tree Dog Shampoo,,,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Tea Tree Dog Shampoo (200 ml)""]",Flipkart,
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",Flipkart,
Style Foot Bellies,899.0,449.0,"[""Footwear >> Women's Footwear >> Ballerinas >> Style Foot Bellies""]",Flipkart,
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons Conditioning Conditoner Dog Shampoo (200 ml)""]",Flipkart,
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",Flipkart,
SWAGGA Women Clogs,1500.0,1500.0,"[""Footwear >> Women's Footwear >> Sports Sandals >> SWAGGA Women Clogs""]",Flipkart,
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,"[""Pet Supplies >> Toys >> Comfort Toys""]",Flipkart,
Glus Wedding Lingerie Set,1299.0,699.0,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Lingerie Sets >> Glus Lingerie Sets""]",Flipkart,
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0,"[""Sports & Fitness >> Other Sports >> Skating >> Skates >> Veelys Skates""]",Flipkart,
Bulaky vanity case Jewellery Vanity Case,499.0,390.0,"[""Beauty and Personal Care >> Makeup >> Vanity Boxes >> Bulaky Vanity Boxes""]",Flipkart,
FDT Women's Leggings,699.0,309.0,"[""Clothing >> Women's Clothing >> Fusion Wear >> Leggings & Jeggings >> Legging Jegging >> FDT Legging Jegging""]",Flipkart,
Madcaps C38GR30 Men's Cargos,2199.0,1699.0,"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Madcaps Cargos""]",Flipkart,
Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0,"[""Bengal Blooms Rose Artificial Plant  with Pot (3...""]",Flipkart,
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Fabric >> Lehenga Choli Material >> Indcrown Lehenga Choli Material >> Indcrown Net Embroidered Semi-stitched Lehenga C...""]",Flipkart,
Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",Flipkart,
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",Flipkart,
KAJCI Embroidered Women's Waistcoat,1200.0,699.0,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",Flipkart,
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",Flipkart,
Pick Pocket Embroidered Women's Waistcoat,899.0,899.0,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",Flipkart,
Angelfish Silk Potali Potli,999.0,399.0,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",Flipkart,
Oye Boy's Dungaree,899.0,764.0,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",Flipkart,
Nuride Canvas Shoes,1999.0,1349.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",Flipkart,
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",Flipkart,
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",Flipkart,
Rapter BNC-179 BNC Wire Connector,2299.0,1400.0,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",Flipkart,
Vishudh Printed Women's Straight Kurta,999.0,499.0,"[""Vishudh Printed Women's Straight Kurta""]",Flipkart,
Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0,"[""Vishudh Printed Women's Anarkali Kurta""]",Flipkart,
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",Flipkart,
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",Flipkart,
MASARA Solid Women's Straight Kurta,1399.0,599.0,"[""MASARA Solid Women's Straight Kurta""]",Flipkart,
Rapter BNC-047 BNC Wire Connector,1299.0,899.0,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",Flipkart,
